Epoch,Train Loss,Validation Loss
1,1.955004659737481,1.9017992023044161
2,1.8070713722229004,1.753278204260932
3,1.7330337008158365,1.7186147589789496
4,1.6731697438981799,1.6642634742101035
5,1.6225739886813693,1.6142012982474434
6,1.5787144220987956,1.590496307373047
7,1.5456227561950684,1.551549156188965
8,1.4796507216135661,1.494945999760098
9,1.4680713917414348,1.4885129656261868
10,1.460305351638794,1.486838233757019
11,1.4549486295064291,1.4783267332924737
12,1.4487011078516643,1.4753651964611478
13,1.4426676851272584,1.4761461913638645
14,1.4379201205147638,1.4629088380389743
15,1.4234105592515733,1.4574428546481661
16,1.4214986705144246,1.4561446078618367
17,1.421765439245436,1.4559088068008423
18,1.4197902569452923,1.4548386785507201
19,1.4191310159683228,1.4547088896857368
20,1.417571983379788,1.4536637162950303
