Epoch,Train Accuracy,Validation Accuracy
1,0.28707777777777777,0.31093333333333334
2,0.3530666666666667,0.37785555555555556
3,0.3883777777777778,0.3947666666666667
4,0.41374444444444447,0.41123333333333334
5,0.4307,0.43564444444444445
6,0.4429555555555556,0.4368222222222222
7,0.45613333333333334,0.45330000000000004
8,0.4877777777777778,0.48053333333333337
9,0.4943444444444445,0.48361111111111116
10,0.4992777777777778,0.4840777777777778
11,0.5018,0.4880333333333334
12,0.5054777777777778,0.48843333333333333
13,0.5081888888888889,0.4912777777777778
14,0.5102777777777778,0.49641111111111114
15,0.5205111111111111,0.500688888888889
16,0.5225777777777778,0.5006666666666667
17,0.5224888888888889,0.5006444444444444
18,0.5236888888888889,0.5020111111111112
19,0.524,0.5018555555555556
20,0.5253111111111112,0.5029888888888889
