epoch,training_loss,test_loss,accuracy
1,1.896,1.618,0.40702222222222223
2,1.536,1.433,0.47952222222222224
3,1.405,1.339,0.5164666666666666
4,1.332,1.262,0.5455111111111111
5,1.282,1.234,0.5568
6,1.254,1.195,0.5707333333333333
7,1.231,1.219,0.5640888888888889
8,1.211,1.192,0.5753888888888888
9,1.196,1.149,0.5883666666666667
10,1.178,1.121,0.5992111111111111
11,1.167,1.151,0.5892
12,1.159,1.127,0.5979888888888889
13,1.148,1.138,0.5911444444444445
14,1.145,1.108,0.6050111111111112
15,1.14,1.126,0.6008444444444444
16,1.132,1.085,0.6130444444444444
17,1.131,1.097,0.6115444444444444
18,1.125,1.096,0.6108555555555556
19,1.119,1.093,0.6107
20,1.116,1.094,0.6095777777777778
21,1.113,1.082,0.6122555555555556
22,1.111,1.093,0.6128888888888889
23,1.114,1.065,0.6222555555555556
24,1.102,1.091,0.6110444444444444
25,1.102,1.102,0.6094888888888889
26,1.096,1.095,0.6136333333333334
27,1.104,1.092,0.6105444444444444
28,1.094,1.06,0.6232888888888889
29,1.093,1.077,0.6180666666666667
30,1.098,1.073,0.6204666666666667
31,1.091,1.042,0.6297666666666667
32,1.089,1.062,0.6234777777777778
33,1.09,1.096,0.6123444444444445
34,1.086,1.071,0.6239
35,1.092,1.078,0.6169111111111111
36,1.089,1.066,0.6206777777777778
37,1.083,1.061,0.6236444444444444
38,1.084,1.083,0.6159
39,1.087,1.088,0.6139666666666667
40,1.086,1.067,0.6196666666666667
41,1.083,1.113,0.6026333333333334
42,1.077,1.068,0.6224888888888889
43,1.084,1.05,0.6244
44,1.08,1.079,0.6161111111111112
45,1.079,1.09,0.6121777777777778
46,1.081,1.074,0.6163
47,1.084,1.078,0.6187888888888889
48,1.081,1.062,0.6211888888888889
49,1.078,1.056,0.6224111111111111
50,1.073,1.047,0.6301666666666667
