Epoch,Train Accuracy,Validation Accuracy
1,0.6434865490478321,0.6150921322023983
2,0.7211188702367289,0.7625036560397777
3,0.8091579295454103,0.7984790874524714
4,0.862475442043222,0.8604855220824802
5,0.8924118345036861,0.8819830359754314
6,0.9078760528312163,0.9084527639660719
7,0.9191775759108327,0.909330213512723
8,0.9524402342002373,0.9439894706054401
9,0.9598708397362329,0.9494004094764551
10,0.9616993133498025,0.9495466510675636
11,0.9654535198117061,0.9543726235741444
12,0.9682934894668248,0.9510090669786487
13,0.9691299188857981,0.9517402749341912
14,0.9723200217860686,0.9548113483474701
15,0.9765605244217938,0.9567124890318807
16,0.9784084498823162,0.955396314711904
17,0.9789336497500437,0.9556887978941211
18,0.9802369234958859,0.9570049722140976
19,0.9797117236281585,0.9558350394852296
20,0.9809760936800949,0.9561275226674466
