Epoch,Train Accuracy,Validation Accuracy
1,0.6305316189772219,0.617285756069026
2,0.6326518702950845,0.617285756069026
3,0.63228228520298,0.617285756069026
4,0.6324573518255558,0.03948522959929804
5,0.6290921823027096,0.03743784732377888
6,0.6260187904841564,0.03743784732377888
7,0.6266412495866482,0.04621234279028956
8,0.6333521367853877,0.6145071658379643
9,0.654846427668307,0.6509213220239836
10,0.6899181077243284,0.6484352149751389
11,0.7206520259098601,0.6722725943258262
12,0.793265770584917,0.7872184849371161
13,0.8331226049913439,0.8123720386077801
14,0.8432570172537882,0.805791167007897
15,0.885778754692758,0.8947060544018719
16,0.8955435818630979,0.8954372623574144
17,0.9005038028360792,0.9045042410061421
18,0.9050555350230504,0.903334308277274
19,0.9070201715652901,0.9077215560105294
20,0.9103269855472776,0.9050892073705762
