Epoch,Train Accuracy,Validation Accuracy
1,0.6233927911455193,0.6531149458906113
2,0.7297360384368495,0.7579701667154138
3,0.8386469295259584,0.857268207078093
4,0.871170417631154,0.8163205615677098
5,0.894045789647727,0.7594325826264989
6,0.9090431636483883,0.8568294823047674
7,0.9191192203699741,0.8654577361801696
8,0.9529459822210118,0.9485229599298041
9,0.9595790620319399,0.9494004094764551
10,0.9623023206053415,0.9513015501608657
11,0.9647727051683557,0.9526177244808424
12,0.9672041860374642,0.9527639660719508
13,0.9697718298352428,0.9562737642585551
14,0.9701219630803944,0.9559812810763381
15,0.9765994281156996,0.9591985960807253
16,0.9783306424945049,0.9581749049429658
17,0.979770079169017,0.9597835624451594
18,0.980373086424556,0.9599298040362679
19,0.9804508938123674,0.9593448376718339
20,0.9808788344453305,0.9593448376718339
