Epoch,Train Accuracy,Validation Accuracy
1,0.6193273551323698,0.6278151506288389
2,0.6992355424147523,0.7872184849371161
3,0.811414343791943,0.8174904942965779
4,0.8630979011457137,0.8588768645802867
5,0.886829154428213,0.8211465340742907
6,0.9017876247349685,0.8498098859315589
7,0.9102102744655605,0.9066978648727698
8,0.9452235989807232,0.9369698742322317
9,0.9505534050458091,0.9444281953787657
10,0.9551051372327802,0.9435507458321146
11,0.9568558034585384,0.9403334308277274
12,0.959559610184987,0.9474992687920445
13,0.9612519208698865,0.9457443696987423
14,0.9620299947480013,0.9505703422053232
15,0.96737925266004,0.9524714828897338
16,0.969013207804081,0.9529102076630593
17,0.9692077262736096,0.9533489324363849
18,0.9694800521309498,0.9530564492541679
19,0.9694995039779026,0.9529102076630593
20,0.9695189558248555,0.954226381983036
