Epoch,Train Accuracy,Validation Accuracy
1,0.6118578459024684,0.617285756069026
2,0.7050710965006127,0.7420298332845862
3,0.7883055496119357,0.8128107633811056
4,0.8478865568285708,0.8695525007312079
5,0.8785037639323854,0.8949985375840889
6,0.8944542784337373,0.8857853173442527
7,0.9032854169503394,0.8736472652822462
8,0.9309264914703651,0.942527054694355
9,0.9375206675873874,0.9417958467388124
10,0.941119259273668,0.9429657794676806
11,0.9440370363165982,0.9400409476455104
12,0.9454959248380633,0.9460368528809593
13,0.949230679453014,0.9450131617431997
14,0.9492501312999669,0.9466218192453933
15,0.9535295376295979,0.9492541678853466
16,0.9556692407944134,0.9489616847031296
17,0.9558443074169892,0.9498391342497806
18,0.9568947071524441,0.9464755776542848
19,0.9563695072847166,0.9476455103831529
20,0.9570697737750199,0.9483767183386955
